dataset,seed,ablation,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
BasicMotions,0,cnn_gru_only,1.000000,0.875000,0.975000,0.875000,9,32,8,40,6,100,4,,,,
BasicMotions,1,cnn_gru_only,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,2,cnn_gru_only,0.968750,1.000000,0.975000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,0,cnn_only,0.906250,0.875000,0.850000,0.875000,1,32,8,40,6,100,4,,,,
BasicMotions,1,cnn_only,0.968750,1.000000,0.950000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,2,cnn_only,0.968750,1.000000,0.975000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,0,full_current,1.000000,1.000000,0.950000,1.000000,1,32,8,40,6,100,4,5.300000190734863,1.0,5.150000095367432,1.0
BasicMotions,1,full_current,1.000000,0.875000,1.000000,1.000000,1,32,8,40,6,100,4,5.200000286102295,0.9903846383094788,5.300000190734863,1.0
BasicMotions,2,full_current,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,5.25,1.0,5.300000190734863,0.990566074848175
BasicMotions,0,gru_only,0.187500,0.625000,0.200000,0.625000,1,32,8,40,6,100,4,,,,
BasicMotions,1,gru_only,0.687500,0.750000,0.425000,0.750000,1,32,8,40,6,100,4,,,,
BasicMotions,2,gru_only,0.812500,0.750000,0.500000,0.750000,1,32,8,40,6,100,4,,,,
BasicMotions,0,no_hgnn_but_gcn,0.812500,0.375000,0.750000,0.375000,1,32,8,40,6,100,4,5.349999904632568,0.9532709717750549,4.950000286102295,0.9191918969154358
BasicMotions,1,no_hgnn_but_gcn,1.000000,1.000000,0.850000,1.000000,1,32,8,40,6,100,4,5.099999904632568,0.9901961088180542,5.200000286102295,0.9615384936332703
BasicMotions,2,no_hgnn_but_gcn,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,5.300000190734863,0.990566074848175,5.0,0.9799999594688416
BasicMotions,0,no_sample_gcn,0.968750,1.000000,0.900000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,1,no_sample_gcn,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,2,no_sample_gcn,0.937500,1.000000,0.950000,1.000000,1,32,8,40,6,100,4,,,,
Epilepsy,0,cnn_gru_only,0.854545,0.777778,0.826087,0.777778,11,110,27,138,3,206,4,,,,
Epilepsy,1,cnn_gru_only,0.772727,0.703704,0.630435,0.703704,1,110,27,138,3,206,4,,,,
Epilepsy,2,cnn_gru_only,0.809091,0.888889,0.760870,0.888889,1,110,27,138,3,206,4,,,,
Epilepsy,0,cnn_only,0.527273,0.740741,0.528986,0.740741,1,110,27,138,3,206,4,,,,
Epilepsy,1,cnn_only,0.863636,0.777778,0.775362,0.777778,1,110,27,138,3,206,4,,,,
Epilepsy,2,cnn_only,0.836364,0.888889,0.789855,0.888889,1,110,27,138,3,206,4,,,,
Epilepsy,0,full_current,0.672727,0.407407,0.565217,0.407407,1,110,27,138,3,206,4,5.547445297241211,0.7552632093429565,5.362318992614746,0.6864864826202393
Epilepsy,1,full_current,0.827273,0.740741,0.695652,0.740741,6,110,27,138,3,206,4,5.474452495574951,0.8479999899864197,5.362318992614746,0.8216216564178467
Epilepsy,2,full_current,0.809091,0.925926,0.797101,0.925926,9,110,27,138,3,206,4,5.284671306610107,0.8397790193557739,5.26086950302124,0.8292011022567749
Epilepsy,0,gru_only,0.318182,0.518519,0.326087,0.518519,1,110,27,138,3,206,4,,,,
Epilepsy,1,gru_only,0.472727,0.481481,0.376812,0.481481,2,110,27,138,3,206,4,,,,
Epilepsy,2,gru_only,0.472727,0.518519,0.471014,0.518519,1,110,27,138,3,206,4,,,,
Epilepsy,0,no_hgnn_but_gcn,0.872727,0.814815,0.847826,0.814815,12,110,27,138,3,206,4,5.474452495574951,0.8639999628067017,5.362318992614746,0.862162172794342
Epilepsy,1,no_hgnn_but_gcn,0.754545,0.703704,0.630435,0.703704,5,110,27,138,3,206,4,5.5620436668396,0.8267716765403748,5.275362491607666,0.8406593799591064
Epilepsy,2,no_hgnn_but_gcn,0.754545,0.740741,0.673913,0.777778,6,110,27,138,3,206,4,5.445255279541016,0.860589861869812,5.318840503692627,0.8610354065895081
Epilepsy,0,no_sample_gcn,0.790909,0.703704,0.739130,0.703704,1,110,27,138,3,206,4,,,,
Epilepsy,1,no_sample_gcn,0.845455,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,,,,
Epilepsy,2,no_sample_gcn,0.854545,0.888889,0.833333,0.888889,1,110,27,138,3,206,4,,,,
ERing,0,cnn_gru_only,0.250000,0.333333,0.211111,0.333333,1,24,6,270,4,65,6,,,,
ERing,1,cnn_gru_only,0.708333,0.666667,0.666667,0.666667,1,24,6,270,4,65,6,,,,
ERing,2,cnn_gru_only,0.666667,0.833333,0.633333,0.833333,1,24,6,270,4,65,6,,,,
ERing,0,cnn_only,0.500000,0.333333,0.474074,0.333333,1,24,6,270,4,65,6,,,,
ERing,1,cnn_only,0.416667,0.500000,0.359259,0.500000,1,24,6,270,4,65,6,,,,
ERing,2,cnn_only,0.291667,0.333333,0.274074,0.333333,1,24,6,270,4,65,6,,,,
ERing,0,full_current,0.458333,0.166667,0.407407,0.333333,1,24,6,270,4,65,6,5.133333683013916,0.6103895902633667,5.607407093048096,0.8507266044616699
ERing,1,full_current,0.625000,0.500000,0.600000,0.500000,1,24,6,270,4,65,6,4.933333396911621,0.5405405759811401,5.496296405792236,0.865229070186615
ERing,2,full_current,0.166667,0.166667,0.166667,0.166667,1,24,6,270,4,65,6,5.466667175292969,0.5243902206420898,5.607407093048096,0.8124174475669861
ERing,0,gru_only,0.541667,0.333333,0.485185,0.333333,1,24,6,270,4,65,6,,,,
ERing,1,gru_only,0.625000,0.333333,0.592593,0.333333,1,24,6,270,4,65,6,,,,
ERing,2,gru_only,0.458333,0.666667,0.503704,0.666667,1,24,6,270,4,65,6,,,,
ERing,0,no_hgnn_but_gcn,0.166667,0.166667,0.166667,0.166667,1,24,6,270,4,65,6,5.200000286102295,0.5,5.592592716217041,0.8238410949707031
ERing,1,no_hgnn_but_gcn,0.625000,0.666667,0.614815,0.666667,1,24,6,270,4,65,6,5.000000476837158,0.5866667032241821,5.7037034034729,0.8779220581054688
ERing,2,no_hgnn_but_gcn,0.500000,0.500000,0.496296,0.500000,1,24,6,270,4,65,6,4.600000381469727,0.6666666865348816,5.451851844787598,0.8505434989929199
ERing,0,no_sample_gcn,0.250000,0.333333,0.174074,0.333333,1,24,6,270,4,65,6,,,,
ERing,1,no_sample_gcn,0.458333,0.666667,0.503704,0.666667,1,24,6,270,4,65,6,,,,
ERing,2,no_sample_gcn,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,,,,
UWaveGestureLibrary,0,cnn_gru_only,0.531250,0.416667,0.456250,0.416667,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,1,cnn_gru_only,0.531250,0.375000,0.428125,0.375000,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,2,cnn_gru_only,0.520833,0.500000,0.393750,0.500000,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,0,cnn_only,0.541667,0.416667,0.375000,0.416667,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,1,cnn_only,0.302083,0.250000,0.265625,0.250000,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,2,cnn_only,0.593750,0.333333,0.434375,0.333333,9,96,24,320,3,315,8,,,,
UWaveGestureLibrary,0,full_current,0.375000,0.291667,0.315625,0.333333,1,96,24,320,3,315,8,5.233333587646484,0.493630588054657,5.537499904632568,0.5259593725204468
UWaveGestureLibrary,1,full_current,0.468750,0.291667,0.403125,0.291667,7,96,24,320,3,315,8,5.250000476837158,0.49841269850730896,5.21875,0.5341317653656006
