dataset,mode,model,acc,f1
condition,flat,LogisticRegression,1.0000,1.0000
condition,flat,RandomForest,1.0000,1.0000
condition,flat,SVM_RBF,0.9977,0.9977
condition,flat,KNN_k5,1.0000,1.0000
condition,flat,GradientBoosting,1.0000,1.0000
condition,period,LogisticRegression,0.9977,0.9977
condition,period,RandomForest,1.0000,1.0000
condition,period,SVM_RBF,1.0000,1.0000
condition,period,KNN_k5,0.9977,0.9977
condition,period,GradientBoosting,1.0000,1.0000
FingerMovements,flat,LogisticRegression,0.6600,0.6578
FingerMovements,flat,RandomForest,0.5500,0.5478
FingerMovements,flat,SVM_RBF,0.5600,0.5572
FingerMovements,flat,KNN_k5,0.5900,0.5900
FingerMovements,flat,GradientBoosting,0.5800,0.5785
FingerMovements,period,LogisticRegression,0.6000,0.5974
FingerMovements,period,RandomForest,0.5100,0.5096
FingerMovements,period,SVM_RBF,0.4700,0.4699
FingerMovements,period,KNN_k5,0.5300,0.5277
FingerMovements,period,GradientBoosting,0.4900,0.4887
output_gear,flat,LogisticRegression,ERR,"Input X contains NaN.
LogisticRegression"
output_gear,flat,RandomForest,0.0000,0.0000
output_gear,flat,SVM_RBF,ERR,"Input X contains NaN.
SVC does not accep"
output_gear,flat,KNN_k5,ERR,"Input X contains NaN.
KNeighborsClassifi"
output_gear,flat,GradientBoosting,ERR,"Input X contains NaN.
GradientBoostingCl"
output_gear,period,LogisticRegression,ERR,"Input X contains NaN.
LogisticRegression"
output_gear,period,RandomForest,0.0000,0.0000
output_gear,period,SVM_RBF,ERR,"Input X contains NaN.
SVC does not accep"
output_gear,period,KNN_k5,ERR,"Input X contains NaN.
KNeighborsClassifi"
output_gear,period,GradientBoosting,ERR,"Input X contains NaN.
GradientBoostingCl"
NATOPS,flat,LogisticRegression,0.8944,0.8965
NATOPS,flat,RandomForest,0.8500,0.8493
NATOPS,flat,SVM_RBF,0.8056,0.8101
NATOPS,flat,KNN_k5,0.8000,0.8053
NATOPS,flat,GradientBoosting,0.7333,0.7453
NATOPS,period,LogisticRegression,0.9056,0.9072
NATOPS,period,RandomForest,0.8556,0.8560
NATOPS,period,SVM_RBF,0.8000,0.8053
NATOPS,period,KNN_k5,0.7833,0.7880
NATOPS,period,GradientBoosting,0.7778,0.7841
ERing,flat,LogisticRegression,0.9556,0.9557
ERing,flat,RandomForest,0.9407,0.9404
ERing,flat,SVM_RBF,0.9296,0.9294
ERing,flat,KNN_k5,0.9296,0.9292
ERing,flat,GradientBoosting,0.7370,0.7324
ERing,period,LogisticRegression,0.9222,0.9220
ERing,period,RandomForest,0.9185,0.9187
ERing,period,SVM_RBF,0.9185,0.9189
ERing,period,KNN_k5,0.8704,0.8692
ERing,period,GradientBoosting,0.6963,0.6925
SelfRegulationSCP2,flat,LogisticRegression,0.4611,0.4610
SelfRegulationSCP2,flat,RandomForest,0.4944,0.4941
SelfRegulationSCP2,flat,SVM_RBF,0.5278,0.5274
SelfRegulationSCP2,flat,KNN_k5,0.4889,0.4848
SelfRegulationSCP2,flat,GradientBoosting,0.5111,0.5096
SelfRegulationSCP2,period,LogisticRegression,0.5278,0.5278
SelfRegulationSCP2,period,RandomForest,0.5389,0.5372
SelfRegulationSCP2,period,SVM_RBF,0.5389,0.5389
SelfRegulationSCP2,period,KNN_k5,0.5556,0.5542
SelfRegulationSCP2,period,GradientBoosting,0.5167,0.5133
HandMovementDirection,flat,LogisticRegression,0.5811,0.5719
HandMovementDirection,flat,RandomForest,0.4730,0.4548
HandMovementDirection,flat,SVM_RBF,0.5405,0.5267
HandMovementDirection,flat,KNN_k5,0.3514,0.3501
HandMovementDirection,flat,GradientBoosting,0.3108,0.3081
HandMovementDirection,period,LogisticRegression,0.3378,0.3453
HandMovementDirection,period,RandomForest,0.2973,0.2796
HandMovementDirection,period,SVM_RBF,0.2973,0.3018
HandMovementDirection,period,KNN_k5,0.3108,0.2709
HandMovementDirection,period,GradientBoosting,0.2703,0.2634
BasicMotions,flat,LogisticRegression,0.7250,0.7000
BasicMotions,flat,RandomForest,0.9250,0.9246
