dataset,seed,max_epochs,lr_mult,checkpoint_mode,selected_epoch,train_acc,test_acc,train_pred_class_counts,test_pred_class_counts,num_classes
condition,0,100,1.0,last_epoch,100,0.344104,0.342404,"0:1168,1:571,2:25","0:291,1:144,2:6",3
condition,1,100,1.0,last_epoch,100,0.673469,0.671202,"0:876,1:566,2:322","0:224,1:133,2:84",3
condition,2,100,1.0,last_epoch,100,0.501134,0.492063,"0:879,1:864,2:21","0:224,1:212,2:5",3
condition,3,100,1.0,last_epoch,100,0.329932,0.331066,"0:1169,1:595,2:0","0:292,1:149,2:0",3
condition,4,100,1.0,last_epoch,100,0.331066,0.331066,"0:1172,1:592,2:0","0:292,1:149,2:0",3
condition,0,50,1.0,last_epoch,50,0.332200,0.331066,"0:0,1:1764,2:0","0:0,1:441,2:0",3
condition,1,50,1.0,last_epoch,50,0.671202,0.671202,"0:576,1:1144,2:44","0:146,1:281,2:14",3
condition,2,50,1.0,last_epoch,50,0.647392,0.639456,"0:578,1:1186,2:0","0:146,1:295,2:0",3
condition,3,50,1.0,last_epoch,50,0.859977,0.868481,"0:346,1:819,2:599","0:90,1:204,2:147",3
condition,4,50,1.0,last_epoch,50,0.369615,0.356009,"0:1091,1:673,2:0","0:279,1:162,2:0",3
condition,0,75,1.0,last_epoch,75,0.340136,0.333333,"0:1146,1:618,2:0","0:289,1:152,2:0",3
