dataset,seed,norm_mode,graph_mode,encoder_mode,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes
BasicMotions,0,train_global,no_graph,current,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,0.968750,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,ms_cnn,1.000000,1.000000,0.975000,1.000000,3,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,ms_cnn,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,ms_cnn,0.718750,0.875000,0.675000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,gru_pool,0.937500,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,gru_pool,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,gru_pool,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,ms_cnn_gru_pool,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,ms_cnn_gru_pool,0.937500,1.000000,0.975000,1.000000,9,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,ms_cnn_gru_pool,0.968750,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.906250,1.000000,0.950000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.562500,1.000000,0.550000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
Cricket,0,train_global,no_graph,current,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,0.873563,1.000000,0.833333,1.000000,26,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,ms_cnn,0.597701,0.380952,0.500000,0.380952,1,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,ms_cnn,0.816092,0.714286,0.722222,0.714286,21,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,ms_cnn,0.666667,0.571429,0.625000,0.571429,9,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,gru_pool,0.758621,0.476190,0.708333,0.476190,6,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,gru_pool,0.689655,0.476190,0.625000,0.476190,1,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,gru_pool,0.839080,0.619048,0.750000,0.619048,16,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,ms_cnn_gru_pool,0.655172,0.476190,0.611111,0.476190,2,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,ms_cnn_gru_pool,0.827586,0.619048,0.722222,0.619048,6,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,ms_cnn_gru_pool,0.770115,0.476190,0.680556,0.476190,6,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.701149,0.428571,0.583333,0.428571,8,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.862069,0.809524,0.805556,0.809524,18,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.689655,0.523810,0.625000,0.523810,1,87,21,72,6,1197,12
ERing,0,train_global,no_graph,current,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,ms_cnn,0.458333,0.500000,0.466667,0.500000,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,ms_cnn,0.291667,0.166667,0.303704,0.166667,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,ms_cnn,0.750000,0.500000,0.577778,0.500000,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,gru_pool,0.291667,0.500000,0.288889,0.500000,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,gru_pool,0.583333,0.333333,0.425926,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,gru_pool,0.166667,0.166667,0.166667,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,ms_cnn_gru_pool,0.666667,0.666667,0.596296,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,ms_cnn_gru_pool,0.583333,0.333333,0.433333,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,ms_cnn_gru_pool,0.541667,0.166667,0.418519,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.833333,0.666667,0.629630,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.541667,0.166667,0.362963,0.166667,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.708333,0.333333,0.581481,0.333333,1,24,6,270,4,65,6
Epilepsy,0,train_global,no_graph,current,0.890909,0.925926,0.804348,0.925926,3,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,0.936364,1.000000,0.869565,1.000000,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,0.918182,0.888889,0.876812,0.888889,10,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,ms_cnn,0.909091,0.962963,0.862319,0.962963,14,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,ms_cnn,0.881818,0.962963,0.847826,0.962963,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,ms_cnn,0.845455,0.777778,0.804348,0.777778,12,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,gru_pool,0.936364,0.962963,0.898551,0.962963,12,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,gru_pool,0.854545,0.962963,0.797101,0.962963,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,gru_pool,0.909091,0.925926,0.898551,0.925926,12,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,ms_cnn_gru_pool,0.818182,0.888889,0.847826,0.888889,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,ms_cnn_gru_pool,0.918182,0.962963,0.862319,0.962963,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,ms_cnn_gru_pool,0.900000,0.851852,0.869565,0.851852,5,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.936364,0.925926,0.884058,0.925926,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.909091,0.925926,0.884058,0.925926,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.927273,0.925926,0.905797,0.925926,1,110,27,138,3,206,4
Libras,0,train_global,no_graph,current,0.493056,0.277778,0.361111,0.277778,7,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,0.340278,0.361111,0.316667,0.361111,1,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,0.430556,0.250000,0.333333,0.250000,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,ms_cnn,0.319444,0.361111,0.288889,0.361111,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,ms_cnn,0.305556,0.361111,0.283333,0.361111,8,144,36,180,2,45,15
Libras,2,train_global,no_graph,ms_cnn,0.493056,0.361111,0.472222,0.361111,13,144,36,180,2,45,15
Libras,0,train_global,no_graph,gru_pool,0.368056,0.250000,0.266667,0.250000,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,gru_pool,0.381944,0.305556,0.261111,0.305556,1,144,36,180,2,45,15
Libras,2,train_global,no_graph,gru_pool,0.055556,0.166667,0.066667,0.166667,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,ms_cnn_gru_pool,0.291667,0.166667,0.161111,0.166667,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,ms_cnn_gru_pool,0.430556,0.333333,0.300000,0.333333,8,144,36,180,2,45,15
Libras,2,train_global,no_graph,ms_cnn_gru_pool,0.083333,0.111111,0.066667,0.111111,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.430556,0.250000,0.355556,0.250000,10,144,36,180,2,45,15
Libras,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.569444,0.472222,0.466667,0.472222,25,144,36,180,2,45,15
Libras,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.416667,0.305556,0.366667,0.305556,4,144,36,180,2,45,15
UWaveGestureLibrary,0,train_global,no_graph,current,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,ms_cnn,0.687500,0.541667,0.525000,0.541667,6,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,ms_cnn,0.479167,0.416667,0.459375,0.416667,7,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,ms_cnn,0.656250,0.333333,0.465625,0.333333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,gru_pool,0.468750,0.541667,0.406250,0.541667,3,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,gru_pool,0.250000,0.291667,0.171875,0.291667,1,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,gru_pool,0.375000,0.208333,0.253125,0.208333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,ms_cnn_gru_pool,0.656250,0.541667,0.459375,0.541667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,ms_cnn_gru_pool,0.562500,0.541667,0.446875,0.541667,23,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,ms_cnn_gru_pool,0.447917,0.208333,0.303125,0.208333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,ms_cnn_gru_pool_delta,0.552083,0.458333,0.459375,0.458333,8,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,ms_cnn_gru_pool_delta,0.479167,0.250000,0.340625,0.250000,1,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,ms_cnn_gru_pool_delta,0.562500,0.208333,0.400000,0.208333,1,96,24,320,3,315,8
