dataset,encoder_mode,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc
BasicMotions,current,0.925000,0.050000,0.958333,0.072169
BasicMotions,gru_pool,0.975000,0.043301,0.958333,0.072169
BasicMotions,ms_cnn,0.883333,0.180854,0.958333,0.072169
BasicMotions,ms_cnn_gru_pool,0.983333,0.014434,1.000000,0.000000
BasicMotions,ms_cnn_gru_pool_delta,0.791667,0.212623,1.000000,0.000000
Cricket,current,0.787037,0.057824,0.746032,0.239677
Cricket,gru_pool,0.694444,0.063647,0.523809,0.082479
Cricket,ms_cnn,0.615741,0.111400,0.555556,0.167233
Cricket,ms_cnn_gru_pool,0.671296,0.056131,0.523809,0.082479
Cricket,ms_cnn_gru_pool_delta,0.671296,0.118124,0.587302,0.198254
ERing,current,0.445679,0.219187,0.388889,0.254588
ERing,gru_pool,0.293827,0.129700,0.333333,0.166667
ERing,ms_cnn,0.449383,0.137852,0.388889,0.192450
ERing,ms_cnn_gru_pool,0.482716,0.098642,0.388889,0.254588
ERing,ms_cnn_gru_pool_delta,0.524691,0.142115,0.388889,0.254588
Epilepsy,current,0.850242,0.039910,0.938272,0.056575
Epilepsy,gru_pool,0.864734,0.058572,0.950617,0.021383
Epilepsy,ms_cnn,0.838164,0.030169,0.901235,0.106917
Epilepsy,ms_cnn_gru_pool,0.859903,0.011069,0.901235,0.056575
Epilepsy,ms_cnn_gru_pool_delta,0.891304,0.012551,0.925926,0.000000
Libras,current,0.337037,0.022452,0.296296,0.057824
Libras,gru_pool,0.198148,0.113900,0.240741,0.069906
Libras,ms_cnn,0.348148,0.107487,0.361111,0.000000
Libras,ms_cnn_gru_pool,0.175926,0.117370,0.203704,0.115648
Libras,ms_cnn_gru_pool_delta,0.396297,0.061195,0.342593,0.115648
UWaveGestureLibrary,current,0.450000,0.064120,0.555556,0.104859
UWaveGestureLibrary,gru_pool,0.277083,0.119010,0.347222,0.173472
UWaveGestureLibrary,ms_cnn,0.483333,0.036219,0.430556,0.104859
UWaveGestureLibrary,ms_cnn_gru_pool,0.403125,0.086828,0.430556,0.192450
UWaveGestureLibrary,ms_cnn_gru_pool_delta,0.400000,0.059375,0.305555,0.133940
