dataset,original_pdgnet_acc,final_mean_test_acc,final_std_test_acc,best_traditional_baseline,diff_vs_original_pdgnet,diff_vs_best_traditional_baseline
condition,0.980000,0.433560,0.149345,1.000000,-0.546440,-0.566440
FingerMovements,0.510000,0.530000,0.014142,0.660000,0.020000,-0.130000
NATOPS,0.730000,0.851111,0.015416,0.906000,0.121111,-0.054889
Epilepsy,0.540000,0.966667,0.016683,0.841000,0.426667,0.125667
BasicMotions,0.970000,1.000000,0.000000,0.925000,0.030000,0.075000
HandMovementDirection,0.350000,0.391892,0.038222,0.581000,0.041892,-0.189108
SelfRegulationSCP2,0.500000,0.527778,0.017568,0.556000,0.027778,-0.028222
ERing,0.590000,0.936296,0.023040,0.956000,0.346296,-0.019704
UWaveGestureLibrary,0.360000,0.709375,0.045928,0.875000,0.349375,-0.165625
Cricket,0.440000,0.855555,0.021064,0.944000,0.415555,-0.088445
Libras,0.230000,0.665555,0.021300,0.800000,0.435555,-0.134445
AtrialFibrillation,0.270000,0.320000,0.073029,0.533000,0.050000,-0.213000
