dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,test_acc,final_epoch,num_train,num_test,num_channels,seq_len,num_classes
condition,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.344104,0.342404,100,1764,441,17,60,3
condition,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.673469,0.671202,100,1764,441,17,60,3
condition,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.501134,0.492063,100,1764,441,17,60,3
condition,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.329932,0.331066,100,1764,441,17,60,3
condition,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.331066,0.331066,100,1764,441,17,60,3
FingerMovements,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.775316,0.540000,100,316,100,28,50,2
FingerMovements,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.803797,0.520000,100,316,100,28,50,2
FingerMovements,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.810127,0.510000,100,316,100,28,50,2
FingerMovements,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.756329,0.540000,100,316,100,28,50,2
FingerMovements,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.775316,0.540000,100,316,100,28,50,2
NATOPS,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.916667,0.866667,100,180,180,24,51,6
NATOPS,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.883333,0.844444,100,180,180,24,51,6
NATOPS,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.883333,0.855556,100,180,180,24,51,6
NATOPS,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.883333,0.827778,100,180,180,24,51,6
NATOPS,4,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.916667,0.861111,100,180,180,24,51,6
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,0.949275,100,137,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,0.992754,100,137,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,0.963768,100,137,138,3,206,4
Epilepsy,3,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.992701,0.971014,100,137,138,3,206,4
