dataset,mean_test_acc,std_test_acc,mean_train_acc,std_train_acc,num_train,num_test,num_channels,seq_len,num_classes
condition,0.433560,0.149345,0.435941,0.151113,1764,441,17,60,3
FingerMovements,0.530000,0.014142,0.784177,0.022310,316,100,28,50,2
NATOPS,0.851111,0.015416,0.896667,0.018258,180,180,24,51,6
Epilepsy,0.966667,0.016683,0.994161,0.003264,137,138,3,206,4
BasicMotions,1.000000,0.000000,1.000000,0.000000,40,40,6,100,4
HandMovementDirection,0.391892,0.038222,0.547500,0.025617,160,74,10,400,4
SelfRegulationSCP2,0.527778,0.017568,0.645000,0.011726,200,180,7,1152,2
ERing,0.936296,0.023040,0.986667,0.018257,30,270,4,65,6
UWaveGestureLibrary,0.709375,0.045928,0.883333,0.025685,120,320,3,315,8
Cricket,0.855555,0.021064,0.905555,0.045077,108,72,6,1197,12
Libras,0.665555,0.021300,0.796667,0.022430,180,180,2,45,15
AtrialFibrillation,0.320000,0.073029,1.000000,0.000000,15,15,2,640,3
