dataset,seed,epoch,train_loss,train_acc
condition,0,1,1.098192,0.336168
condition,0,10,1.091308,0.336168
condition,0,25,1.071446,0.529478
condition,0,50,0.991234,0.332200
condition,0,75,0.959573,0.340136
condition,0,100,0.835680,0.344104
condition,1,1,1.097501,0.594671
condition,1,10,1.091122,0.336168
condition,1,25,1.068679,0.339002
condition,1,50,0.847260,0.671202
condition,1,75,0.801305,0.333333
condition,1,100,0.579182,0.673469
condition,2,1,1.099265,0.051587
condition,2,10,1.096900,0.336168
condition,2,25,1.081790,0.484127
condition,2,50,0.945063,0.647392
condition,2,75,0.872715,0.349206
condition,2,100,0.730126,0.501134
condition,3,1,1.101550,0.331633
condition,3,10,1.094384,0.336168
condition,3,25,1.078298,0.336168
condition,3,50,0.868571,0.859977
condition,3,75,1.010168,0.329932
condition,3,100,1.636721,0.329932
condition,4,1,1.099349,0.336168
condition,4,10,1.095130,0.480726
condition,4,25,1.080471,0.666100
condition,4,50,1.019397,0.369615
condition,4,75,1.643456,0.331066
condition,4,100,2.423373,0.331066
FingerMovements,0,1,0.702577,0.503165
FingerMovements,0,10,0.690301,0.515823
FingerMovements,0,25,0.678496,0.639241
FingerMovements,0,50,0.648869,0.661392
FingerMovements,0,75,0.599209,0.715190
FingerMovements,0,100,0.508334,0.775316
FingerMovements,1,1,0.691044,0.512658
FingerMovements,1,10,0.684803,0.610759
FingerMovements,1,25,0.670239,0.648734
FingerMovements,1,50,0.630397,0.674051
FingerMovements,1,75,0.544666,0.743671
FingerMovements,1,100,0.420805,0.803797
FingerMovements,2,1,0.692371,0.544304
FingerMovements,2,10,0.687351,0.607595
FingerMovements,2,25,0.674468,0.639241
FingerMovements,2,50,0.639747,0.680380
FingerMovements,2,75,0.558730,0.734177
FingerMovements,2,100,0.431867,0.810127
FingerMovements,3,1,0.694024,0.503165
FingerMovements,3,10,0.688552,0.626582
FingerMovements,3,25,0.676855,0.632911
FingerMovements,3,50,0.645894,0.651899
FingerMovements,3,75,0.600598,0.686709
FingerMovements,3,100,0.500903,0.756329
FingerMovements,4,1,0.695077,0.503165
FingerMovements,4,10,0.689035,0.569620
FingerMovements,4,25,0.678419,0.645570
FingerMovements,4,50,0.646041,0.661392
FingerMovements,4,75,0.589837,0.689873
FingerMovements,4,100,0.492893,0.775316
NATOPS,0,1,1.798689,0.161111
NATOPS,0,10,1.752579,0.355556
NATOPS,0,25,1.602479,0.627778
NATOPS,0,50,1.025414,0.766667
NATOPS,0,75,0.634914,0.861111
NATOPS,0,100,0.385669,0.916667
NATOPS,1,1,1.791561,0.166667
NATOPS,1,10,1.738858,0.366667
NATOPS,1,25,1.547827,0.611111
NATOPS,1,50,0.956578,0.772222
NATOPS,1,75,0.570585,0.866667
NATOPS,1,100,0.342124,0.883333
NATOPS,2,1,1.798272,0.166667
NATOPS,2,10,1.756508,0.477778
NATOPS,2,25,1.616216,0.594444
NATOPS,2,50,1.064598,0.644444
NATOPS,2,75,0.647155,0.861111
NATOPS,2,100,0.376261,0.883333
NATOPS,3,1,1.807386,0.172222
NATOPS,3,10,1.752719,0.405556
NATOPS,3,25,1.596318,0.511111
NATOPS,3,50,1.074152,0.666667
NATOPS,3,75,0.686045,0.850000
NATOPS,3,100,0.398764,0.883333
NATOPS,4,1,1.801343,0.166667
NATOPS,4,10,1.753282,0.311111
NATOPS,4,25,1.579976,0.633333
NATOPS,4,50,1.067514,0.677778
NATOPS,4,75,0.737770,0.844444
NATOPS,4,100,0.452725,0.916667
Epilepsy,0,1,1.390234,0.262774
Epilepsy,0,10,1.299075,0.605839
Epilepsy,0,25,0.997775,0.868613
Epilepsy,0,50,0.401635,0.985401
Epilepsy,0,75,0.111876,0.992701
Epilepsy,0,100,0.039598,0.992701
Epilepsy,1,1,1.389341,0.218978
Epilepsy,1,10,1.233899,0.686131
Epilepsy,1,25,0.899626,0.919708
Epilepsy,1,50,0.394704,0.970803
Epilepsy,1,75,0.138896,0.992701
Epilepsy,1,100,0.045956,0.992701
Epilepsy,2,1,1.361470,0.270073
Epilepsy,2,10,1.264936,0.554745
Epilepsy,2,25,0.940748,0.766423
Epilepsy,2,50,0.428699,0.941606
Epilepsy,2,75,0.154360,0.978102
Epilepsy,2,100,0.047289,0.992701
Epilepsy,3,1,1.394358,0.204380
Epilepsy,3,10,1.278080,0.540146
Epilepsy,3,25,0.970937,0.890511
Epilepsy,3,50,0.443907,0.956204
Epilepsy,3,75,0.156884,0.992701
Epilepsy,3,100,0.052345,0.992701
Epilepsy,4,1,1.401053,0.218978
Epilepsy,4,10,1.294556,0.518248
Epilepsy,4,25,0.946681,0.927007
Epilepsy,4,50,0.393613,0.956204
Epilepsy,4,75,0.127243,0.992701
Epilepsy,4,100,0.041098,1.000000
BasicMotions,0,1,1.381248,0.250000
BasicMotions,0,10,1.266682,0.725000
BasicMotions,0,25,1.011380,0.750000
BasicMotions,0,50,0.519214,1.000000
BasicMotions,0,75,0.179072,1.000000
BasicMotions,0,100,0.047138,1.000000
BasicMotions,1,1,1.383702,0.250000
BasicMotions,1,10,1.265675,0.775000
BasicMotions,1,25,1.012541,0.800000
BasicMotions,1,50,0.521412,1.000000
BasicMotions,1,75,0.157252,1.000000
BasicMotions,1,100,0.041803,1.000000
BasicMotions,2,1,1.389640,0.250000
BasicMotions,2,10,1.277082,0.550000
BasicMotions,2,25,1.051600,0.925000
BasicMotions,2,50,0.605305,1.000000
BasicMotions,2,75,0.239175,1.000000
BasicMotions,2,100,0.063943,1.000000
BasicMotions,3,1,1.403777,0.250000
BasicMotions,3,10,1.299254,0.975000
BasicMotions,3,25,1.084181,0.950000
BasicMotions,3,50,0.605178,0.950000
BasicMotions,3,75,0.258287,1.000000
BasicMotions,3,100,0.079274,1.000000
BasicMotions,4,1,1.381044,0.400000
BasicMotions,4,10,1.257205,0.725000
