dataset,seed,graph_mode,sample_k,sim_threshold,dropedge,use_residual_gcn,final_alpha,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
BasicMotions,0,no_graph,5,0.5,0.0,True,0.000000,0.968750,1.000000,0.900000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,1,no_graph,5,0.5,0.0,True,0.000000,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,2,no_graph,5,0.5,0.0,True,0.000000,0.937500,1.000000,0.950000,1.000000,1,32,8,40,6,100,4,,,,
BasicMotions,0,current,5,0.5,0.0,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,5.349999904632568,0.9906541705131531,5.200000286102295,1.0
BasicMotions,1,current,5,0.5,0.0,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,5.200000286102295,0.9807692766189575,5.300000190734863,0.990566074848175
BasicMotions,2,current,5,0.5,0.0,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,5.200000286102295,0.9615384936332703,5.349999904632568,0.971962571144104
BasicMotions,0,mutual_knn,5,0.5,0.0,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,3.6500000953674316,1.0,3.75,1.0
BasicMotions,1,mutual_knn,5,0.5,0.0,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,3.6000001430511475,1.0,3.6000001430511475,0.9722222089767456
BasicMotions,2,mutual_knn,5,0.5,0.0,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,3.6000001430511475,1.0,3.6000001430511475,1.0
BasicMotions,0,mutual_knn,5,0.5,0.2,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,3.6000001430511475,1.0,3.75,1.0
BasicMotions,1,mutual_knn,5,0.5,0.2,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,3.6000001430511475,1.0,3.6500000953674316,0.9726027250289917
BasicMotions,2,mutual_knn,5,0.5,0.2,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,3.450000047683716,1.0,3.5,1.0
BasicMotions,0,mutual_knn_threshold,5,0.5,0.2,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,3.6000001430511475,1.0,3.75,1.0
BasicMotions,1,mutual_knn_threshold,5,0.5,0.2,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,3.6000001430511475,1.0,3.6500000953674316,0.9726027250289917
BasicMotions,2,mutual_knn_threshold,5,0.5,0.2,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,3.450000047683716,1.0,3.5,1.0
BasicMotions,0,mutual_knn,3,0.5,0.2,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,1.850000023841858,1.0,2.049999952316284,0.9999999403953552
BasicMotions,1,mutual_knn,3,0.5,0.2,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,2.1000001430511475,1.0,1.899999976158142,1.0
BasicMotions,2,mutual_knn,3,0.5,0.2,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,1.899999976158142,1.0,1.8000000715255737,1.0
BasicMotions,0,mutual_knn,10,0.5,0.2,True,0.048164,0.968750,1.000000,0.900000,1.000000,3,32,8,40,6,100,4,9.100000381469727,0.9780219793319702,8.90000057220459,0.9550561904907227
BasicMotions,1,mutual_knn,10,0.5,0.2,True,0.048166,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4,8.800000190734863,0.9545454978942871,8.25,0.9333332777023315
BasicMotions,2,mutual_knn,10,0.5,0.2,True,0.048051,0.937500,1.000000,0.925000,1.000000,1,32,8,40,6,100,4,8.850000381469727,0.9435028433799744,8.90000057220459,0.966292142868042
Cricket,0,no_graph,5,0.5,0.0,True,0.000000,0.712644,0.666667,0.583333,0.666667,6,87,21,72,6,1197,12,,,,
Cricket,1,no_graph,5,0.5,0.0,True,0.000000,0.586207,0.428571,0.583333,0.428571,7,87,21,72,6,1197,12,,,,
Cricket,2,no_graph,5,0.5,0.0,True,0.000000,0.908046,0.761905,0.777778,0.761905,42,87,21,72,6,1197,12,,,,
Cricket,0,current,5,0.5,0.0,True,0.048216,0.689655,0.666667,0.597222,0.666667,6,87,21,72,6,1197,12,5.277777671813965,0.8350877165794373,5.138888835906982,0.6972973346710205
Cricket,1,current,5,0.5,0.0,True,0.048612,0.586207,0.428571,0.527778,0.428571,1,87,21,72,6,1197,12,5.092592716217041,0.8581818342208862,5.0,0.7166666984558105
