dataset,graph_mode,sample_k,sim_threshold,dropedge,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc,mean_final_alpha,mean_train_graph_homophily,mean_test_graph_homophily_diagnostic_only
BasicMotions,current,5,0.5,0.0,0.941667,0.052042,1.000000,0.000000,0.048127,0.977654,0.987510
BasicMotions,mutual_knn,10,0.5,0.2,0.941667,0.052042,1.000000,0.000000,0.048127,0.958690,0.951561
BasicMotions,mutual_knn,3,0.5,0.2,0.941667,0.052042,1.000000,0.000000,0.048127,1.000000,1.000000
BasicMotions,mutual_knn,5,0.5,0.0,0.941667,0.052042,1.000000,0.000000,0.048127,1.000000,0.990741
BasicMotions,mutual_knn,5,0.5,0.2,0.941667,0.052042,1.000000,0.000000,0.048127,1.000000,0.990868
BasicMotions,mutual_knn_threshold,5,0.5,0.2,0.941667,0.052042,1.000000,0.000000,0.048127,1.000000,0.990868
BasicMotions,no_graph,5,0.5,0.0,0.950000,0.050000,1.000000,0.000000,0.000000,,
Cricket,current,5,0.5,0.0,0.611111,0.091075,0.555556,0.119839,0.048564,0.854021,0.728305
Cricket,mutual_knn,10,0.5,0.2,0.620371,0.062628,0.555556,0.119839,0.048565,0.782613,0.540219
Cricket,mutual_knn,3,0.5,0.2,0.620370,0.076494,0.555556,0.119839,0.048565,0.951209,0.871846
Cricket,mutual_knn,5,0.5,0.0,0.615741,0.071272,0.555556,0.119839,0.048569,0.905881,0.819503
Cricket,mutual_knn,5,0.5,0.2,0.620371,0.062628,0.539683,0.119839,0.048558,0.916465,0.830499
Cricket,mutual_knn_threshold,5,0.5,0.2,0.620371,0.062628,0.539683,0.119839,0.048558,0.916465,0.830499
Cricket,no_graph,5,0.5,0.0,0.648148,0.112263,0.619048,0.171693,0.000000,,
ERing,current,5,0.5,0.0,0.560494,0.081594,0.611111,0.254588,0.047528,0.602806,0.863144
ERing,mutual_knn,10,0.5,0.2,0.558024,0.087044,0.611111,0.254588,0.047528,0.397578,0.897775
ERing,mutual_knn,3,0.5,0.2,0.556790,0.087044,0.611111,0.254588,0.047528,0.780140,0.914948
ERing,mutual_knn,5,0.5,0.0,0.559259,0.079695,0.611111,0.254588,0.047528,0.621228,0.906066
ERing,mutual_knn,5,0.5,0.2,0.556790,0.087044,0.611111,0.254588,0.047528,0.621228,0.907781
ERing,mutual_knn_threshold,5,0.5,0.2,0.556790,0.087044,0.611111,0.254588,0.047528,0.621228,0.907781
ERing,no_graph,5,0.5,0.0,0.440741,0.241423,0.611111,0.254588,0.000000,,
Epilepsy,current,5,0.5,0.0,0.763285,0.060771,0.802469,0.093208,0.048708,0.870400,0.840035
Epilepsy,mutual_knn,10,0.5,0.2,0.765701,0.064949,0.814815,0.111111,0.048712,0.869502,0.805068
Epilepsy,mutual_knn,3,0.5,0.2,0.763285,0.066939,0.814815,0.111111,0.048712,0.946786,0.958695
Epilepsy,mutual_knn,5,0.5,0.0,0.763285,0.060771,0.802469,0.093208,0.048708,0.916196,0.900699
Epilepsy,mutual_knn,5,0.5,0.2,0.765701,0.064949,0.814815,0.111111,0.048712,0.916231,0.899347
Epilepsy,mutual_knn_threshold,5,0.5,0.2,0.765701,0.064949,0.814815,0.111111,0.048712,0.916231,0.899347
Epilepsy,no_graph,5,0.5,0.0,0.765700,0.059018,0.802469,0.093208,0.000000,,
Libras,current,5,0.5,0.0,0.309259,0.100820,0.296296,0.084863,0.048126,0.425976,0.440434
Libras,mutual_knn,10,0.5,0.2,0.305556,0.105993,0.296296,0.084863,0.048122,0.372999,0.372685
Libras,mutual_knn,3,0.5,0.2,0.305555,0.100462,0.296296,0.084863,0.048122,0.609371,0.624504
Libras,mutual_knn,5,0.5,0.0,0.309259,0.100820,0.296296,0.084863,0.048122,0.504140,0.520634
Libras,mutual_knn,5,0.5,0.2,0.307407,0.103389,0.296296,0.084863,0.048122,0.504580,0.520045
Libras,mutual_knn_threshold,5,0.5,0.2,0.307407,0.103389,0.296296,0.084863,0.048122,0.504580,0.520045
Libras,no_graph,5,0.5,0.0,0.320370,0.090324,0.296296,0.084863,0.000000,,
UWaveGestureLibrary,current,5,0.5,0.0,0.475000,0.050000,0.486111,0.086736,0.048721,0.541532,0.573768
UWaveGestureLibrary,mutual_knn,10,0.5,0.2,0.473958,0.045321,0.486111,0.086736,0.048721,0.505299,0.561928
UWaveGestureLibrary,mutual_knn,3,0.5,0.2,0.471875,0.050000,0.486111,0.086736,0.048721,0.686672,0.687130
UWaveGestureLibrary,mutual_knn,5,0.5,0.0,0.475000,0.050000,0.486111,0.086736,0.048721,0.616097,0.630913
UWaveGestureLibrary,mutual_knn,5,0.5,0.2,0.472917,0.051570,0.486111,0.086736,0.048721,0.612526,0.633286
UWaveGestureLibrary,mutual_knn_threshold,5,0.5,0.2,0.472917,0.051570,0.486111,0.086736,0.048721,0.612526,0.633286
UWaveGestureLibrary,no_graph,5,0.5,0.0,0.475000,0.046034,0.486111,0.086736,0.000000,,
