dataset,seed,norm_mode,graph_mode,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes
BasicMotions,0,sample_global,no_graph,0.968750,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,sample_global,no_graph,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,sample_global,no_graph,0.906250,0.875000,0.700000,0.875000,9,32,8,40,6,100,4
BasicMotions,0,train_channel,no_graph,0.968750,1.000000,0.950000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_channel,no_graph,1.000000,1.000000,0.950000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_channel,no_graph,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
BasicMotions,0,sample_channel,no_graph,0.843750,0.750000,0.800000,0.750000,11,32,8,40,6,100,4
BasicMotions,1,sample_channel,no_graph,0.906250,0.875000,0.850000,0.875000,10,32,8,40,6,100,4
BasicMotions,2,sample_channel,no_graph,0.875000,1.000000,0.900000,1.000000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,0.968750,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,none,no_graph,0.937500,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,none,no_graph,0.937500,0.875000,0.850000,0.875000,1,32,8,40,6,100,4
BasicMotions,2,none,no_graph,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
Cricket,0,sample_global,no_graph,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,sample_global,no_graph,0.816092,0.809524,0.805556,0.809524,1,87,21,72,6,1197,12
Cricket,2,sample_global,no_graph,0.862069,0.761905,0.819444,0.761905,21,87,21,72,6,1197,12
Cricket,0,train_channel,no_graph,0.747126,0.523810,0.680556,0.523810,26,87,21,72,6,1197,12
Cricket,1,train_channel,no_graph,0.839080,0.857143,0.791667,0.857143,3,87,21,72,6,1197,12
Cricket,2,train_channel,no_graph,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,sample_channel,no_graph,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,sample_channel,no_graph,0.839080,0.857143,0.819444,0.857143,4,87,21,72,6,1197,12
Cricket,2,sample_channel,no_graph,0.873563,0.714286,0.819444,0.714286,18,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,0.873563,1.000000,0.833333,1.000000,26,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,none,no_graph,0.712644,0.476190,0.625000,0.476190,7,87,21,72,6,1197,12
Cricket,1,none,no_graph,0.862069,0.904762,0.805556,0.904762,3,87,21,72,6,1197,12
Cricket,2,none,no_graph,0.839080,0.666667,0.777778,0.666667,22,87,21,72,6,1197,12
ERing,0,sample_global,no_graph,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,sample_global,no_graph,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,sample_global,no_graph,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,train_channel,no_graph,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,train_channel,no_graph,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,train_channel,no_graph,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,sample_channel,no_graph,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,sample_channel,no_graph,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,sample_channel,no_graph,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,none,no_graph,0.791667,0.500000,0.692593,0.500000,1,24,6,270,4,65,6
ERing,1,none,no_graph,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,none,no_graph,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
Epilepsy,0,sample_global,no_graph,0.800000,0.925926,0.724638,0.925926,1,110,27,138,3,206,4
Epilepsy,1,sample_global,no_graph,0.681818,0.666667,0.615942,0.666667,2,110,27,138,3,206,4
Epilepsy,2,sample_global,no_graph,0.763636,0.703704,0.666667,0.703704,1,110,27,138,3,206,4
Epilepsy,0,train_channel,no_graph,0.890909,0.925926,0.847826,0.925926,5,110,27,138,3,206,4
Epilepsy,1,train_channel,no_graph,0.890909,0.962963,0.855072,0.962963,1,110,27,138,3,206,4
Epilepsy,2,train_channel,no_graph,0.845455,0.814815,0.818841,0.814815,3,110,27,138,3,206,4
Epilepsy,0,sample_channel,no_graph,0.781818,0.703704,0.688406,0.703704,7,110,27,138,3,206,4
Epilepsy,1,sample_channel,no_graph,0.772727,0.777778,0.710145,0.777778,5,110,27,138,3,206,4
Epilepsy,2,sample_channel,no_graph,0.890909,0.629630,0.753623,0.629630,8,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,0.890909,0.925926,0.804348,0.925926,3,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,0.936364,1.000000,0.869565,1.000000,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,0.918182,0.888889,0.876812,0.888889,10,110,27,138,3,206,4
Epilepsy,0,none,no_graph,0.827273,0.851852,0.818841,0.851852,1,110,27,138,3,206,4
Epilepsy,1,none,no_graph,0.954545,1.000000,0.898551,1.000000,1,110,27,138,3,206,4
Epilepsy,2,none,no_graph,0.909091,0.851852,0.847826,0.851852,1,110,27,138,3,206,4
Libras,0,sample_global,no_graph,0.340278,0.222222,0.305556,0.222222,1,144,36,180,2,45,15
Libras,1,sample_global,no_graph,0.312500,0.277778,0.305556,0.277778,1,144,36,180,2,45,15
