dataset,norm_mode,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc
BasicMotions,none,0.908333,0.080364,0.958333,0.072169
BasicMotions,sample_channel,0.850000,0.050000,0.875000,0.125000
BasicMotions,sample_global,0.850000,0.139194,0.958333,0.072169
BasicMotions,train_channel,0.966667,0.028868,1.000000,0.000000
BasicMotions,train_global,0.925000,0.050000,0.958333,0.072169
Cricket,none,0.736111,0.097222,0.682540,0.214726
Cricket,sample_channel,0.787037,0.056131,0.698413,0.167232
Cricket,sample_global,0.782407,0.052583,0.698413,0.153074
Cricket,train_channel,0.759260,0.068512,0.698413,0.167232
Cricket,train_global,0.787037,0.057824,0.746032,0.239677
ERing,none,0.445679,0.219187,0.333333,0.166667
ERing,sample_channel,0.445679,0.219187,0.388889,0.254588
ERing,sample_global,0.445679,0.219187,0.388889,0.254588
ERing,train_channel,0.445679,0.219187,0.388889,0.254588
ERing,train_global,0.445679,0.219187,0.388889,0.254588
Epilepsy,none,0.855073,0.040346,0.901235,0.085533
Epilepsy,sample_channel,0.717391,0.033207,0.703704,0.074074
Epilepsy,sample_global,0.669082,0.054388,0.765432,0.140220
Epilepsy,train_channel,0.840580,0.019172,0.901235,0.077099
Epilepsy,train_global,0.850242,0.039910,0.938272,0.056575
Libras,none,0.172222,0.094770,0.175926,0.089293
Libras,sample_channel,0.266667,0.027778,0.222222,0.073493
Libras,sample_global,0.316667,0.019245,0.259259,0.032075
Libras,train_channel,0.287037,0.008486,0.268518,0.057824
Libras,train_global,0.337037,0.022452,0.296296,0.057824
UWaveGestureLibrary,none,0.456250,0.070365,0.555556,0.104859
UWaveGestureLibrary,sample_channel,0.450000,0.064120,0.555556,0.104859
UWaveGestureLibrary,sample_global,0.450000,0.064120,0.555556,0.104859
UWaveGestureLibrary,train_channel,0.450000,0.064120,0.555556,0.104859
UWaveGestureLibrary,train_global,0.450000,0.064120,0.555556,0.104859
