dataset,relation_mode,train_protocol,mean_train_acc,mean_val_acc,mean_test_acc,mean_best_epoch,mean_final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
BasicMotions,hgnn_zero,current_split,0.916667,1.000000,0.883333,1.000000,1.000000,32,8,40,6,100,4
BasicMotions,hgnn_zero,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1.000000,40,8,40,6,100,4
BasicMotions,hgnn_zero,stratified_split,0.979167,1.000000,0.900000,1.000000,1.000000,32,8,40,6,100,4
BasicMotions,hgnn_zero,train_all_fixed_100,1.000000,nan,1.000000,nan,100.000000,40,0,40,6,100,4
BasicMotions,hgnn_zero,train_all_fixed_50,1.000000,nan,0.991667,nan,50.000000,40,0,40,6,100,4
BasicMotions,lowN_channel_attn,current_split,0.916667,1.000000,0.883333,1.000000,1.000000,32,8,40,6,100,4
BasicMotions,lowN_channel_attn,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1.000000,40,8,40,6,100,4
BasicMotions,lowN_channel_attn,stratified_split,0.979167,1.000000,0.900000,1.000000,1.000000,32,8,40,6,100,4
BasicMotions,lowN_channel_attn,train_all_fixed_100,1.000000,nan,1.000000,nan,100.000000,40,0,40,6,100,4
BasicMotions,lowN_channel_attn,train_all_fixed_50,1.000000,nan,0.991667,nan,50.000000,40,0,40,6,100,4
Cricket,hgnn_zero,current_split,0.712643,0.587302,0.638889,4.666667,4.666667,87,21,72,6,1197,12
Cricket,hgnn_zero,retrain_trainval,0.302469,0.841270,0.305556,14.666667,14.666667,108,21,72,6,1197,12
Cricket,hgnn_zero,stratified_split,0.808429,0.841270,0.717593,14.666667,14.666667,87,21,72,6,1197,12
Cricket,hgnn_zero,train_all_fixed_100,0.919753,nan,0.856481,nan,100.000000,108,0,72,6,1197,12
Cricket,hgnn_zero,train_all_fixed_50,0.564815,nan,0.541667,nan,50.000000,108,0,72,6,1197,12
Cricket,lowN_channel_attn,current_split,0.712643,0.587302,0.638889,4.666667,4.666667,87,21,72,6,1197,12
Cricket,lowN_channel_attn,retrain_trainval,0.302469,0.841270,0.305556,14.666667,14.666667,108,21,72,6,1197,12
Cricket,lowN_channel_attn,stratified_split,0.808429,0.841270,0.717593,14.666667,14.666667,87,21,72,6,1197,12
Cricket,lowN_channel_attn,train_all_fixed_100,0.919753,nan,0.856481,nan,100.000000,108,0,72,6,1197,12
Cricket,lowN_channel_attn,train_all_fixed_50,0.564815,nan,0.541667,nan,50.000000,108,0,72,6,1197,12
ERing,hgnn_zero,current_split,0.430556,0.500000,0.430864,1.000000,1.000000,24,6,270,4,65,6
ERing,hgnn_zero,retrain_trainval,0.166667,0.888889,0.190124,1.000000,1.000000,30,6,270,4,65,6
ERing,hgnn_zero,stratified_split,0.708333,0.888889,0.700000,1.000000,1.000000,24,6,270,4,65,6
ERing,hgnn_zero,train_all_fixed_100,0.811111,nan,0.749383,nan,100.000000,30,0,270,4,65,6
ERing,hgnn_zero,train_all_fixed_50,0.744445,nan,0.681481,nan,50.000000,30,0,270,4,65,6
ERing,lowN_channel_attn,current_split,0.444444,0.444444,0.428395,1.000000,1.000000,24,6,270,4,65,6
ERing,lowN_channel_attn,retrain_trainval,0.155556,0.611111,0.148148,1.333333,1.333333,30,6,270,4,65,6
ERing,lowN_channel_attn,stratified_split,0.611111,0.611111,0.567901,1.333333,1.333333,24,6,270,4,65,6
ERing,lowN_channel_attn,train_all_fixed_100,0.977778,nan,0.949383,nan,100.000000,30,0,270,4,65,6
ERing,lowN_channel_attn,train_all_fixed_50,0.755556,nan,0.722222,nan,50.000000,30,0,270,4,65,6
Epilepsy,hgnn_zero,current_split,0.878788,0.888889,0.845411,1.000000,1.000000,110,27,138,3,206,4
Epilepsy,hgnn_zero,retrain_trainval,0.211679,0.839506,0.195652,1.000000,1.000000,137,27,138,3,206,4
Epilepsy,hgnn_zero,stratified_split,0.875758,0.839506,0.828502,1.000000,1.000000,110,27,138,3,206,4
Epilepsy,hgnn_zero,train_all_fixed_100,0.948905,nan,0.900966,nan,100.000000,137,0,138,3,206,4
Epilepsy,hgnn_zero,train_all_fixed_50,0.866180,nan,0.852657,nan,50.000000,137,0,138,3,206,4
Epilepsy,lowN_channel_attn,current_split,0.981818,0.987654,0.939613,8.666667,8.666667,110,27,138,3,206,4
Epilepsy,lowN_channel_attn,retrain_trainval,0.250608,0.950617,0.258454,1.000000,1.000000,137,27,138,3,206,4
Epilepsy,lowN_channel_attn,stratified_split,0.954545,0.950617,0.913043,1.000000,1.000000,110,27,138,3,206,4
Epilepsy,lowN_channel_attn,train_all_fixed_100,0.992701,nan,0.968599,nan,100.000000,137,0,138,3,206,4
Epilepsy,lowN_channel_attn,train_all_fixed_50,0.965937,nan,0.925121,nan,50.000000,137,0,138,3,206,4
Libras,hgnn_zero,current_split,0.372685,0.259259,0.281481,3.333333,3.333333,144,36,180,2,45,15
Libras,hgnn_zero,retrain_trainval,0.087037,0.407407,0.075926,5.000000,5.000000,180,36,180,2,45,15
Libras,hgnn_zero,stratified_split,0.439815,0.407407,0.350000,5.000000,5.000000,144,36,180,2,45,15
Libras,hgnn_zero,train_all_fixed_100,0.487037,nan,0.407408,nan,100.000000,180,0,180,2,45,15
Libras,hgnn_zero,train_all_fixed_50,0.387037,nan,0.337037,nan,50.000000,180,0,180,2,45,15
Libras,lowN_channel_attn,current_split,0.662037,0.518519,0.475926,10.333333,10.333333,144,36,180,2,45,15
Libras,lowN_channel_attn,retrain_trainval,0.129630,0.592593,0.120371,11.333333,11.333333,180,36,180,2,45,15
Libras,lowN_channel_attn,stratified_split,0.699074,0.592593,0.531482,11.333333,11.333333,144,36,180,2,45,15
Libras,lowN_channel_attn,train_all_fixed_100,0.803704,nan,0.670370,nan,100.000000,180,0,180,2,45,15
Libras,lowN_channel_attn,train_all_fixed_50,0.590741,nan,0.455556,nan,50.000000,180,0,180,2,45,15
UWaveGestureLibrary,hgnn_zero,current_split,0.562500,0.444444,0.443750,6.666667,6.666667,96,24,320,3,315,8
UWaveGestureLibrary,hgnn_zero,retrain_trainval,0.127778,0.513889,0.126042,2.333333,2.333333,120,24,320,3,315,8
UWaveGestureLibrary,hgnn_zero,stratified_split,0.562500,0.513889,0.438542,2.333333,2.333333,96,24,320,3,315,8
UWaveGestureLibrary,hgnn_zero,train_all_fixed_100,0.708333,nan,0.566667,nan,100.000000,120,0,320,3,315,8
UWaveGestureLibrary,hgnn_zero,train_all_fixed_50,0.569444,nan,0.453125,nan,50.000000,120,0,320,3,315,8
UWaveGestureLibrary,lowN_channel_attn,current_split,0.708333,0.597222,0.587500,22.000000,22.000000,96,24,320,3,315,8
UWaveGestureLibrary,lowN_channel_attn,retrain_trainval,0.161111,0.805556,0.152083,22.333333,22.333333,120,24,320,3,315,8
UWaveGestureLibrary,lowN_channel_attn,stratified_split,0.864583,0.805556,0.679167,22.333333,22.333333,96,24,320,3,315,8
UWaveGestureLibrary,lowN_channel_attn,train_all_fixed_100,0.891666,nan,0.732292,nan,100.000000,120,0,320,3,315,8
UWaveGestureLibrary,lowN_channel_attn,train_all_fixed_50,0.602778,nan,0.509375,nan,50.000000,120,0,320,3,315,8
