dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,val_acc,test_acc,best_val_acc,best_epoch,final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
BasicMotions,0,train_global,no_graph,current,hgnn_zero,current_split,0.781250,1.000000,0.800000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,current_split,1.000000,1.000000,0.975000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,current_split,0.968750,1.000000,0.875000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,hgnn_zero,stratified_split,1.000000,1.000000,0.975000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.968750,1.000000,0.850000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.968750,1.000000,0.875000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,1.000000,nan,1.000000,nan,nan,50,40,0,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,1.000000,nan,0.975000,nan,nan,50,40,0,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,1.000000,nan,1.000000,nan,nan,50,40,0,40,6,100,4
BasicMotions,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,current_split,0.781250,1.000000,0.800000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,current_split,1.000000,1.000000,0.975000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,current_split,0.968750,1.000000,0.875000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,stratified_split,1.000000,1.000000,0.975000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.968750,1.000000,0.850000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,stratified_split,0.968750,1.000000,0.875000,1.000000,1,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,retrain_trainval,0.250000,1.000000,0.250000,1.000000,1,1,40,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,1.000000,nan,1.000000,nan,nan,50,40,0,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,1.000000,nan,0.975000,nan,nan,50,40,0,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,1.000000,nan,1.000000,nan,nan,50,40,0,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,nan,1.000000,nan,nan,100,40,0,40,6,100,4
Cricket,0,train_global,no_graph,current,hgnn_zero,current_split,0.689655,0.523810,0.583333,0.523810,2,2,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,current_split,0.747126,0.571429,0.652778,0.571429,6,6,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,current_split,0.701149,0.666667,0.680556,0.666667,6,6,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,hgnn_zero,stratified_split,0.758621,0.809524,0.611111,0.809524,11,11,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.770115,0.761905,0.652778,0.761905,6,6,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.896552,0.952381,0.888889,0.952381,27,27,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.222222,0.809524,0.236111,0.809524,11,11,108,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.120370,0.761905,0.138889,0.761905,6,6,108,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.564815,0.952381,0.541667,0.952381,27,27,108,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.509259,nan,0.472222,nan,nan,50,108,0,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.629630,nan,0.652778,nan,nan,50,108,0,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.555556,nan,0.500000,nan,nan,50,108,0,72,6,1197,12
Cricket,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.925926,nan,0.847222,nan,nan,100,108,0,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.861111,nan,0.833333,nan,nan,100,108,0,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.972222,nan,0.888889,nan,nan,100,108,0,72,6,1197,12
