dataset,relation_mode,train_protocol,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc,mean_best_epoch,mean_final_epoch
BasicMotions,hgnn_zero,current_split,0.883333,0.087797,1.000000,0.000000,1.000000,1.000000
BasicMotions,hgnn_zero,retrain_trainval,0.250000,0.000000,1.000000,0.000000,1.000000,1.000000
BasicMotions,hgnn_zero,stratified_split,0.900000,0.066144,1.000000,0.000000,1.000000,1.000000
BasicMotions,hgnn_zero,train_all_fixed_100,1.000000,0.000000,nan,nan,nan,100.000000
BasicMotions,hgnn_zero,train_all_fixed_50,0.991667,0.014434,nan,nan,nan,50.000000
BasicMotions,lowN_channel_attn,current_split,0.883333,0.087797,1.000000,0.000000,1.000000,1.000000
BasicMotions,lowN_channel_attn,retrain_trainval,0.250000,0.000000,1.000000,0.000000,1.000000,1.000000
BasicMotions,lowN_channel_attn,stratified_split,0.900000,0.066144,1.000000,0.000000,1.000000,1.000000
BasicMotions,lowN_channel_attn,train_all_fixed_100,1.000000,0.000000,nan,nan,nan,100.000000
BasicMotions,lowN_channel_attn,train_all_fixed_50,0.991667,0.014434,nan,nan,nan,50.000000
Cricket,hgnn_zero,current_split,0.638889,0.050078,0.587302,0.072739,4.666667,4.666667
Cricket,hgnn_zero,retrain_trainval,0.305556,0.210177,0.841270,0.099127,14.666667,14.666667
Cricket,hgnn_zero,stratified_split,0.717593,0.149803,0.841270,0.099127,14.666667,14.666667
Cricket,hgnn_zero,train_all_fixed_100,0.856481,0.028912,nan,nan,nan,100.000000
Cricket,hgnn_zero,train_all_fixed_50,0.541667,0.097222,nan,nan,nan,50.000000
Cricket,lowN_channel_attn,current_split,0.638889,0.050078,0.587302,0.072739,4.666667,4.666667
Cricket,lowN_channel_attn,retrain_trainval,0.305556,0.210177,0.841270,0.099127,14.666667,14.666667
Cricket,lowN_channel_attn,stratified_split,0.717593,0.149803,0.841270,0.099127,14.666667,14.666667
Cricket,lowN_channel_attn,train_all_fixed_100,0.856481,0.028912,nan,nan,nan,100.000000
