dataset,relation_mode,mean_train_acc,mean_val_acc,mean_test_acc,mean_best_epoch,num_channels,seq_len,num_classes
BasicMotions,channel_attn_all,0.958333,1.000000,0.983333,1.000000,6,100,4
BasicMotions,hgnn_zero,0.947917,0.958333,0.925000,1.000000,6,100,4
BasicMotions,lowN_channel_attn,0.947917,0.958333,0.925000,1.000000,6,100,4
BasicMotions,lowN_node_pool,0.947917,0.958333,0.925000,1.000000,6,100,4
Cricket,channel_attn_all,0.708812,0.555556,0.666667,2.000000,6,1197,12
Cricket,hgnn_zero,0.835249,0.746032,0.787037,15.000000,6,1197,12
Cricket,lowN_channel_attn,0.835249,0.746032,0.787037,15.000000,6,1197,12
Cricket,lowN_node_pool,0.835249,0.746032,0.787037,15.000000,6,1197,12
ERing,channel_attn_all,0.541667,0.333333,0.475309,5.333333,4,65,6
ERing,hgnn_zero,0.500000,0.388889,0.445679,1.000000,4,65,6
ERing,lowN_channel_attn,0.361111,0.444444,0.361729,1.000000,4,65,6
ERing,lowN_node_pool,0.416666,0.277778,0.379012,1.000000,4,65,6
Epilepsy,channel_attn_all,0.878788,0.888889,0.855072,1.000000,3,206,4
Epilepsy,hgnn_zero,0.915152,0.938272,0.850242,4.666667,3,206,4
Epilepsy,lowN_channel_attn,0.954546,0.975309,0.915459,6.333333,3,206,4
Epilepsy,lowN_node_pool,0.918182,0.925926,0.879227,3.000000,3,206,4
Libras,channel_attn_all,0.701389,0.527778,0.529630,18.666667,2,45,15
Libras,hgnn_zero,0.421297,0.296296,0.337037,3.000000,2,45,15
Libras,lowN_channel_attn,0.615741,0.537037,0.459259,12.333333,2,45,15
Libras,lowN_node_pool,0.513889,0.435185,0.420370,9.333333,2,45,15
UWaveGestureLibrary,channel_attn_all,0.645833,0.541667,0.491667,7.666667,3,315,8
UWaveGestureLibrary,hgnn_zero,0.576389,0.555556,0.450000,2.000000,3,315,8
UWaveGestureLibrary,lowN_channel_attn,0.711806,0.652778,0.578125,15.333333,3,315,8
UWaveGestureLibrary,lowN_node_pool,0.541667,0.430556,0.432292,1.000000,3,315,8
