dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes
BasicMotions,0,train_global,no_graph,current,hgnn_zero,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,hgnn_zero,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,hgnn_zero,0.968750,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_channel_attn,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_channel_attn,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_channel_attn,0.968750,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,lowN_node_pool,0.875000,1.000000,0.875000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,lowN_node_pool,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,lowN_node_pool,0.968750,0.875000,0.925000,0.875000,1,32,8,40,6,100,4
BasicMotions,0,train_global,no_graph,current,channel_attn_all,1.000000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,1,train_global,no_graph,current,channel_attn_all,0.875000,1.000000,0.975000,1.000000,1,32,8,40,6,100,4
BasicMotions,2,train_global,no_graph,current,channel_attn_all,1.000000,1.000000,1.000000,1.000000,1,32,8,40,6,100,4
Cricket,0,train_global,no_graph,current,hgnn_zero,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,hgnn_zero,0.873563,1.000000,0.833333,1.000000,26,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,hgnn_zero,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_channel_attn,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_channel_attn,0.873563,1.000000,0.833333,1.000000,26,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_channel_attn,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,lowN_node_pool,0.758621,0.523810,0.722222,0.523810,3,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,lowN_node_pool,0.873563,1.000000,0.833333,1.000000,26,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,lowN_node_pool,0.873563,0.714286,0.805556,0.714286,16,87,21,72,6,1197,12
Cricket,0,train_global,no_graph,current,channel_attn_all,0.666667,0.476190,0.611111,0.476190,1,87,21,72,6,1197,12
Cricket,1,train_global,no_graph,current,channel_attn_all,0.689655,0.619048,0.680556,0.619048,1,87,21,72,6,1197,12
Cricket,2,train_global,no_graph,current,channel_attn_all,0.770115,0.571429,0.708333,0.571429,4,87,21,72,6,1197,12
ERing,0,train_global,no_graph,current,hgnn_zero,0.791667,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,hgnn_zero,0.375000,0.333333,0.370370,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,hgnn_zero,0.333333,0.166667,0.274074,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,0.625000,0.833333,0.614815,0.833333,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,0.291667,0.333333,0.303704,0.333333,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_channel_attn,0.166667,0.166667,0.166667,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_node_pool,0.583333,0.500000,0.559259,0.500000,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_node_pool,0.458333,0.166667,0.388889,0.166667,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_node_pool,0.208333,0.166667,0.188889,0.166667,1,24,6,270,4,65,6
ERing,0,train_global,no_graph,current,channel_attn_all,0.708333,0.666667,0.692593,0.666667,1,24,6,270,4,65,6
ERing,1,train_global,no_graph,current,channel_attn_all,0.166667,0.000000,0.148148,0.000000,1,24,6,270,4,65,6
ERing,2,train_global,no_graph,current,channel_attn_all,0.750000,0.333333,0.585185,0.333333,14,24,6,270,4,65,6
Epilepsy,0,train_global,no_graph,current,hgnn_zero,0.890909,0.925926,0.804348,0.925926,3,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,0.936364,1.000000,0.869565,1.000000,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,hgnn_zero,0.918182,0.888889,0.876812,0.888889,10,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_channel_attn,0.945455,1.000000,0.898551,1.000000,2,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_channel_attn,0.927273,0.925926,0.913043,0.925926,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_channel_attn,0.990909,1.000000,0.934783,1.000000,16,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,lowN_node_pool,0.954545,0.925926,0.876812,0.925926,4,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,lowN_node_pool,0.890909,0.925926,0.869565,0.925926,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,lowN_node_pool,0.909091,0.925926,0.891304,0.925926,4,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,channel_attn_all,0.863636,0.851852,0.855072,0.851852,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,channel_attn_all,0.881818,0.925926,0.833333,0.925926,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,channel_attn_all,0.890909,0.888889,0.876812,0.888889,1,110,27,138,3,206,4
Libras,0,train_global,no_graph,current,hgnn_zero,0.493056,0.277778,0.361111,0.277778,7,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,hgnn_zero,0.340278,0.361111,0.316667,0.361111,1,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,hgnn_zero,0.430556,0.250000,0.333333,0.250000,1,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_channel_attn,0.430556,0.500000,0.338889,0.500000,3,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_channel_attn,0.708333,0.722222,0.583333,0.722222,28,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_channel_attn,0.708333,0.388889,0.455556,0.388889,6,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,lowN_node_pool,0.520833,0.444444,0.444444,0.444444,1,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,lowN_node_pool,0.506944,0.527778,0.438889,0.527778,9,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,lowN_node_pool,0.513889,0.333333,0.377778,0.333333,18,144,36,180,2,45,15
Libras,0,train_global,no_graph,current,channel_attn_all,0.652778,0.527778,0.461111,0.527778,14,144,36,180,2,45,15
Libras,1,train_global,no_graph,current,channel_attn_all,0.708333,0.555556,0.588889,0.555556,26,144,36,180,2,45,15
Libras,2,train_global,no_graph,current,channel_attn_all,0.743056,0.500000,0.538889,0.500000,16,144,36,180,2,45,15
UWaveGestureLibrary,0,train_global,no_graph,current,hgnn_zero,0.656250,0.666667,0.512500,0.666667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,hgnn_zero,0.541667,0.541667,0.453125,0.541667,4,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,hgnn_zero,0.531250,0.458333,0.384375,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_channel_attn,0.531250,0.458333,0.437500,0.458333,6,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_channel_attn,0.875000,0.791667,0.678125,0.791667,26,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_channel_attn,0.729167,0.708333,0.618750,0.708333,14,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,lowN_node_pool,0.562500,0.541667,0.437500,0.541667,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,lowN_node_pool,0.489583,0.416667,0.428125,0.416667,1,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,lowN_node_pool,0.572917,0.333333,0.431250,0.333333,1,96,24,320,3,315,8
UWaveGestureLibrary,0,train_global,no_graph,current,channel_attn_all,0.572917,0.458333,0.453125,0.458333,1,96,24,320,3,315,8
UWaveGestureLibrary,1,train_global,no_graph,current,channel_attn_all,0.458333,0.500000,0.390625,0.500000,2,96,24,320,3,315,8
UWaveGestureLibrary,2,train_global,no_graph,current,channel_attn_all,0.906250,0.666667,0.631250,0.666667,20,96,24,320,3,315,8
