dataset,relation_mode,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc
BasicMotions,channel_attn_all,0.983333,0.014434,1.000000,0.000000
BasicMotions,hgnn_zero,0.925000,0.050000,0.958333,0.072169
BasicMotions,lowN_channel_attn,0.925000,0.050000,0.958333,0.072169
BasicMotions,lowN_node_pool,0.925000,0.050000,0.958333,0.072169
Cricket,channel_attn_all,0.666667,0.050077,0.555556,0.072740
Cricket,hgnn_zero,0.787037,0.057824,0.746032,0.239677
Cricket,lowN_channel_attn,0.787037,0.057824,0.746032,0.239677
Cricket,lowN_node_pool,0.787037,0.057824,0.746032,0.239677
ERing,channel_attn_all,0.475309,0.288374,0.333333,0.333334
ERing,hgnn_zero,0.445679,0.219187,0.388889,0.254588
ERing,lowN_channel_attn,0.361729,0.229640,0.444444,0.346944
ERing,lowN_node_pool,0.379012,0.185382,0.277778,0.192450
Epilepsy,channel_attn_all,0.855072,0.021740,0.888889,0.037037
Epilepsy,hgnn_zero,0.850242,0.039910,0.938272,0.056575
Epilepsy,lowN_channel_attn,0.915459,0.018236,0.975309,0.042767
Epilepsy,lowN_node_pool,0.879227,0.011069,0.925926,0.000000
Libras,channel_attn_all,0.529630,0.064390,0.527778,0.027778
Libras,hgnn_zero,0.337037,0.022452,0.296296,0.057824
Libras,lowN_channel_attn,0.459259,0.122264,0.537037,0.169725
Libras,lowN_node_pool,0.420370,0.036990,0.435185,0.097553
UWaveGestureLibrary,channel_attn_all,0.491667,0.124857,0.541667,0.110240
UWaveGestureLibrary,hgnn_zero,0.450000,0.064120,0.555556,0.104859
UWaveGestureLibrary,lowN_channel_attn,0.578125,0.125351,0.652778,0.173472
UWaveGestureLibrary,lowN_node_pool,0.432292,0.004774,0.430556,0.104859
