dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,max_epochs,lr_mult,checkpoint_mode,selected_epoch,train_acc,train_loss,test_acc,num_train,num_test,num_channels,seq_len,num_classes
condition,0,train_global,no_graph,current,lowN_channel_attn,100,1.0,last_epoch,100,0.344104,0.835680,0.342404,1764,441,17,60,3
condition,1,train_global,no_graph,current,lowN_channel_attn,100,1.0,last_epoch,100,0.673469,0.579182,0.671202,1764,441,17,60,3
condition,2,train_global,no_graph,current,lowN_channel_attn,100,1.0,last_epoch,100,0.501134,0.730126,0.492063,1764,441,17,60,3
condition,3,train_global,no_graph,current,lowN_channel_attn,100,1.0,last_epoch,100,0.329932,1.636721,0.331066,1764,441,17,60,3
condition,4,train_global,no_graph,current,lowN_channel_attn,100,1.0,last_epoch,100,0.331066,2.423373,0.331066,1764,441,17,60,3
condition,0,train_global,no_graph,current,lowN_channel_attn,50,1.0,last_epoch,50,0.332200,0.991234,0.331066,1764,441,17,60,3
condition,1,train_global,no_graph,current,lowN_channel_attn,50,1.0,last_epoch,50,0.671202,0.847260,0.671202,1764,441,17,60,3
condition,2,train_global,no_graph,current,lowN_channel_attn,50,1.0,last_epoch,50,0.647392,0.945063,0.639456,1764,441,17,60,3
condition,3,train_global,no_graph,current,lowN_channel_attn,50,1.0,last_epoch,50,0.859977,0.868571,0.868481,1764,441,17,60,3
condition,4,train_global,no_graph,current,lowN_channel_attn,50,1.0,last_epoch,50,0.369615,1.019397,0.356009,1764,441,17,60,3
condition,0,train_global,no_graph,current,lowN_channel_attn,75,1.0,last_epoch,75,0.340136,0.959573,0.333333,1764,441,17,60,3
condition,1,train_global,no_graph,current,lowN_channel_attn,75,1.0,last_epoch,75,0.333333,0.801305,0.331066,1764,441,17,60,3
