dataset,seed,max_epochs,lr_mult,checkpoint_mode,epoch,train_loss,train_acc
condition,0,100,1.0,last_epoch,1,1.098192,0.336168
condition,0,100,1.0,last_epoch,10,1.091308,0.336168
condition,0,100,1.0,last_epoch,25,1.071446,0.529478
condition,0,100,1.0,last_epoch,50,0.991234,0.332200
condition,0,100,1.0,last_epoch,75,0.959573,0.340136
condition,0,100,1.0,last_epoch,100,0.835680,0.344104
condition,1,100,1.0,last_epoch,1,1.097501,0.594671
condition,1,100,1.0,last_epoch,10,1.091122,0.336168
condition,1,100,1.0,last_epoch,25,1.068679,0.339002
condition,1,100,1.0,last_epoch,50,0.847260,0.671202
condition,1,100,1.0,last_epoch,75,0.801305,0.333333
condition,1,100,1.0,last_epoch,100,0.579182,0.673469
condition,2,100,1.0,last_epoch,1,1.099265,0.051587
condition,2,100,1.0,last_epoch,10,1.096900,0.336168
condition,2,100,1.0,last_epoch,25,1.081790,0.484127
condition,2,100,1.0,last_epoch,50,0.945063,0.647392
condition,2,100,1.0,last_epoch,75,0.872715,0.349206
condition,2,100,1.0,last_epoch,100,0.730126,0.501134
condition,3,100,1.0,last_epoch,1,1.101550,0.331633
condition,3,100,1.0,last_epoch,10,1.094384,0.336168
condition,3,100,1.0,last_epoch,25,1.078298,0.336168
condition,3,100,1.0,last_epoch,50,0.868571,0.859977
condition,3,100,1.0,last_epoch,75,1.010168,0.329932
condition,3,100,1.0,last_epoch,100,1.636721,0.329932
condition,4,100,1.0,last_epoch,1,1.099349,0.336168
condition,4,100,1.0,last_epoch,10,1.095130,0.480726
condition,4,100,1.0,last_epoch,25,1.080471,0.666100
condition,4,100,1.0,last_epoch,50,1.019397,0.369615
condition,4,100,1.0,last_epoch,75,1.643456,0.331066
condition,4,100,1.0,last_epoch,100,2.423373,0.331066
condition,0,50,1.0,last_epoch,1,1.098192,0.336168
condition,0,50,1.0,last_epoch,10,1.091308,0.336168
condition,0,50,1.0,last_epoch,25,1.071446,0.529478
condition,0,50,1.0,last_epoch,50,0.991234,0.332200
condition,1,50,1.0,last_epoch,1,1.097501,0.594671
condition,1,50,1.0,last_epoch,10,1.091122,0.336168
condition,1,50,1.0,last_epoch,25,1.068679,0.339002
condition,1,50,1.0,last_epoch,50,0.847260,0.671202
condition,2,50,1.0,last_epoch,1,1.099265,0.051587
condition,2,50,1.0,last_epoch,10,1.096900,0.336168
condition,2,50,1.0,last_epoch,25,1.081790,0.484127
condition,2,50,1.0,last_epoch,50,0.945063,0.647392
condition,3,50,1.0,last_epoch,1,1.101550,0.331633
condition,3,50,1.0,last_epoch,10,1.094384,0.336168
condition,3,50,1.0,last_epoch,25,1.078298,0.336168
condition,3,50,1.0,last_epoch,50,0.868571,0.859977
condition,4,50,1.0,last_epoch,1,1.099349,0.336168
condition,4,50,1.0,last_epoch,10,1.095130,0.480726
condition,4,50,1.0,last_epoch,25,1.080471,0.666100
condition,4,50,1.0,last_epoch,50,1.019397,0.369615
condition,0,75,1.0,last_epoch,1,1.098192,0.336168
condition,0,75,1.0,last_epoch,10,1.091308,0.336168
condition,0,75,1.0,last_epoch,25,1.071446,0.529478
condition,0,75,1.0,last_epoch,50,0.991234,0.332200
condition,0,75,1.0,last_epoch,75,0.959573,0.340136
condition,1,75,1.0,last_epoch,1,1.097501,0.594671
condition,1,75,1.0,last_epoch,10,1.091122,0.336168
condition,1,75,1.0,last_epoch,25,1.068679,0.339002
condition,1,75,1.0,last_epoch,50,0.847260,0.671202
