dataset,ablation,mean_test_acc,std_test_acc,mean_best_val_acc,std_best_val_acc
BasicMotions,cnn_gru_only,0.983333,0.014434,0.958333,0.072169
BasicMotions,cnn_only,0.925000,0.066144,0.958333,0.072169
BasicMotions,full_current,0.983333,0.028868,1.000000,0.000000
BasicMotions,gru_only,0.375000,0.156125,0.708333,0.072169
BasicMotions,no_hgnn_but_gcn,0.866667,0.125831,0.791667,0.360844
BasicMotions,no_sample_gcn,0.950000,0.050000,1.000000,0.000000
Cricket,cnn_gru_only,0.620370,0.088206,0.587302,0.027493
Cricket,cnn_only,0.625000,0.050078,0.539682,0.109972
Cricket,full_current,0.518519,0.112262,0.380952,0.142858
Cricket,gru_only,0.268519,0.107881,0.206349,0.153074
Cricket,no_hgnn_but_gcn,0.513889,0.000000,0.396825,0.027493
Cricket,no_sample_gcn,0.648148,0.112263,0.619048,0.171693
ERing,cnn_gru_only,0.503704,0.253940,0.611111,0.254588
ERing,cnn_only,0.369136,0.100365,0.388889,0.096225
ERing,full_current,0.391358,0.217112,0.333333,0.166667
ERing,gru_only,0.527161,0.057418,0.444444,0.192450
ERing,no_hgnn_but_gcn,0.425926,0.232214,0.444445,0.254588
ERing,no_sample_gcn,0.440741,0.241423,0.611111,0.254588
Epilepsy,cnn_gru_only,0.739131,0.099621,0.790124,0.093208
Epilepsy,cnn_only,0.698068,0.146608,0.802469,0.077099
Epilepsy,full_current,0.685990,0.116244,0.691358,0.262763
Epilepsy,gru_only,0.391304,0.073542,0.506173,0.021384
Epilepsy,no_hgnn_but_gcn,0.717391,0.115033,0.765432,0.056575
Epilepsy,no_sample_gcn,0.765700,0.059018,0.802469,0.093208
Libras,cnn_gru_only,0.333333,0.096865,0.342593,0.057824
Libras,cnn_only,0.194444,0.064070,0.138889,0.048112
Libras,full_current,0.231481,0.075428,0.212963,0.057824
Libras,gru_only,0.205556,0.016667,0.212963,0.057824
Libras,no_hgnn_but_gcn,0.261111,0.096385,0.222222,0.073493
Libras,no_sample_gcn,0.320370,0.090324,0.296296,0.084863
UWaveGestureLibrary,cnn_gru_only,0.426042,0.031302,0.430556,0.063647
UWaveGestureLibrary,cnn_only,0.358333,0.085601,0.333333,0.083334
UWaveGestureLibrary,full_current,0.340625,0.054486,0.319444,0.024056
UWaveGestureLibrary,gru_only,0.312500,0.060837,0.430556,0.146328
UWaveGestureLibrary,no_hgnn_but_gcn,0.414583,0.020807,0.458333,0.150231
UWaveGestureLibrary,no_sample_gcn,0.475000,0.046034,0.486111,0.086736
